,Company,Title,Location,Apply
36,Swiggy,Sales Manager I,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/sales-manager-i-at-swiggy-3772070295?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=dxhbgREvpq3%2Ffbb0Prdl6Q%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,ZUS,Stanowisko ds. wsparcia zasilania gwarantowanego,"West Bunghmun, Mizoram, India",https://in.linkedin.com/jobs/view/stanowisko-ds-wsparcia-zasilania-gwarantowanego-at-zus-3783484843?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=kD8Dt%2BxSTi1LJAEKJ%2BoFPQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,ZUS,Analityk ds. ulg i umorzeń,"Bankura, West Bengal, India",https://in.linkedin.com/jobs/view/analityk-ds-ulg-i-umorze%C5%84-at-zus-3783495035?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=yt8%2BpBx6L%2FB5CEFOy%2FpJZQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,Infosys BPM,Accountant,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/accountant-at-infosys-bpm-3772859837?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=25HROuWUMa6PrsWX8Aa7iw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
40,ZARA SA,Visual Merchandiser,"Chandigarh, India",https://in.linkedin.com/jobs/view/visual-merchandiser-at-zara-sa-3781876111?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=0qDG%2BUu0jblde1FQg57IAQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
41,IKEA,Worli_Logistics Team leader,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/worli-logistics-team-leader-at-ikea-3777894659?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=H1DIz9xa1b5vDuq4JCpmNg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
42,ZUS,Lekarz orzecznik Zakładu,"West Bunghmun, Mizoram, India",https://in.linkedin.com/jobs/view/lekarz-orzecznik-zak%C5%82adu-at-zus-3783493131?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=zeIQMcp7OFPJedtutiR4ig%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
43,Purplle.com,Digital Marketing Manager,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/digital-marketing-manager-at-purplle-com-3771565140?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=R8Y7T3J%2Fp0C7u8NwseccFA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
44,Kaitech Integrated Services,Airport Ground Staff-Freshers || Chennai,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/airport-ground-staff-freshers-chennai-at-kaitech-integrated-services-3781825356?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=6mnARf0jVt4J69PRrE7Aaw%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
45,Sociowash,Photographer/Videographer,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/photographer-videographer-at-sociowash-3783727601?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=uw7z5x3UPIvl0Ui2ye0nTA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
46,Genpact,Management Trainee,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/management-trainee-at-genpact-3771505719?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=wF2ABECMoC0ogso%2FqrC17w%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
47,Kaitech Integrated Services,Airport Ground Staff Jobs at Airport - Freshers,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/airport-ground-staff-jobs-at-airport-freshers-at-kaitech-integrated-services-3781821908?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=CnHkwpMSifUqWsryiXhiqA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
48,Myntra,Manager - Category Management,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/manager-category-management-at-myntra-3778841609?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=U4KWVmDeKQp20KqnA%2FDsPg%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
49,IDFC FIRST Bank,Customer Service Executive-Social Media,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/customer-service-executive-social-media-at-idfc-first-bank-3771938690?refId=qSLdlmtdg4tF0TIqReEKww%3D%3D&trackingId=uxzr3fDVRmH7a53ytLAHpQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
50,IDFC FIRST Bank,Customer Service Executive-Social Media,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/customer-service-executive-social-media-at-idfc-first-bank-3771938690?refId=mNQW6abhTLbN8dDOTeUk5A%3D%3D&trackingId=PZdl7ivlcvti9yEFVLn8pw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
51,ZUS,Analityk ds. ulg i umorzeń (wyniki naboru),"West Bunghmun, Mizoram, India",https://in.linkedin.com/jobs/view/analityk-ds-ulg-i-umorze%C5%84-wyniki-naboru-at-zus-3783481718?refId=mNQW6abhTLbN8dDOTeUk5A%3D%3D&trackingId=vFrLvvWrkV8tPPOsWezlDg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,Medanta,Deputy Manager Quality (Medanta Lucknow),"Lucknow, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/deputy-manager-quality-medanta-lucknow-at-medanta-3772342419?refId=mNQW6abhTLbN8dDOTeUk5A%3D%3D&trackingId=wJj1U2YM6V1v80K8Wg%2FIzw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,ZUS,Doradca ds. emerytalnych,"West Bunghmun, Mizoram, India",https://in.linkedin.com/jobs/view/doradca-ds-emerytalnych-at-zus-3783492985?refId=mNQW6abhTLbN8dDOTeUk5A%3D%3D&trackingId=Vme0TP7AzN%2FasY6Cggo7TQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
